Season,Team,W,L,Win Rate,OBP,SLG,ERA
2015,DET,74,87,0.459627329,0.32773794,0.42016057,0.651907681043767
2014,DET,90,72,0.555555556,0.330851408,0.426110124,0.4706941007036591
2013,DET,93,69,0.574074074,0.345972309,0.434350479,0.3557011022542822
2012,DET,88,74,0.543209877,0.334538878,0.422388604,0.4007284763565297
2011,DET,95,67,0.586419753,0.339750849,0.433579004,0.4801289635892081
2010,DET,81,81,0.5,0.335193749,0.415204678,0.550243955175362
2011,FLA,72,90,0.444444444,0.317597265,0.388344226,0.4537720143894457
2010,FLA,80,82,0.49382716,0.32101579,0.402639667,0.4940991438044948
2025,HOU,8,10,0.444444444,0.303112313,0.334351145,0.3897000897749008
2024,HOU,88,73,0.546583851,0.322278771,0.418444846,0.3960959209383106
2023,HOU,90,72,0.555555556,0.331192807,0.436680438,0.450711807369601
2022,HOU,106,56,0.654320988,0.319423745,0.423923091,0.1492969389423885
2021,HOU,95,67,0.586419753,0.339012738,0.444484176,0.4096991839903834
2020,HOU,29,31,0.483333333,0.312162162,0.407630522,0.5571502571064215
2019,HOU,107,55,0.660493827,0.352452593,0.495456974,0.3701245534711597
2018,HOU,103,59,0.635802469,0.329196603,0.425270493,0.2114784452626179
2017,HOU,101,61,0.62345679,0.345544712,0.477811441,0.5021941997017003
2016,HOU,84,78,0.518518519,0.318601262,0.416591523,0.4861692584935877
2015,HOU,86,76,0.530864198,0.315188616,0.436526836,0.3443556156907952
2014,HOU,70,92,0.432098765,0.309464611,0.382595924,0.5082456299075839
2013,HOU,51,111,0.314814815,0.298844801,0.375481033,0.6962228022716774
2012,HOU,55,107,0.339506173,0.301611278,0.371370445,0.6304121211990139
2011,HOU,56,106,0.345679012,0.310588622,0.373704894,0.6142966833795236
2010,HOU,76,86,0.469135802,0.302917861,0.362068965,0.493279957256171
2025,KCR,8,11,0.421052632,0.279393173,0.307692307,0.2758228851607844
2024,KCR,86,76,0.530864198,0.306245802,0.403431101,0.3973082421647231
2023,KCR,56,106,0.345679012,0.302781501,0.397568165,0.8039079644388594
2022,KCR,65,97,0.401234568,0.306395057,0.379621114,0.6738504023461758
2021,KCR,74,88,0.456790123,0.306465155,0.395614519,0.6524467105343985
2020,KCR,26,34,0.433333333,0.308500914,0.402414486,0.5539053510711329
2019,KCR,59,103,0.364197531,0.309102924,0.400836972,0.8144867039536767
2018,KCR,58,104,0.358024691,0.305348567,0.39164396,0.7401557788505251
2017,KCR,80,82,0.49382716,0.311418109,0.419617052,0.6497644444110975
2016,KCR,81,81,0.5,0.312156993,0.400036023,0.5287501103493959
2015,KCR,95,67,0.586419753,0.321769154,0.412197309,0.3919204824659468
2014,KCR,89,73,0.549382716,0.31352697,0.376014427,0.324983743992367
2013,KCR,86,76,0.530864198,0.314946325,0.378626779,0.3087066538733052
2012,KCR,72,90,0.444444444,0.316511513,0.399929027,0.5532199401640003
2011,KCR,71,91,0.438271605,0.328663446,0.415021156,0.5961011235723432
2010,KCR,67,95,0.413580247,0.331007626,0.399357601,0.7481612864782698
2025,LAA,9,8,0.529411765,0.283765347,0.410447761,0.6724984006373897
2024,LAA,63,99,0.388888889,0.301174496,0.369423184,0.6306131888183097
2023,LAA,73,89,0.450617284,0.316862361,0.426124977,0.6517357122588847
2022,LAA,73,89,0.450617284,0.297092925,0.390189931,0.405978419327399
2021,LAA,77,85,0.475308642,0.309774436,0.406842008,0.6666102229405435
2020,LAA,26,34,0.433333333,0.332319721,0.430198019,0.7810605636380219
2019,LAA,72,90,0.444444444,0.32403399,0.421869361,0.7889347208519615
2018,LAA,80,82,0.49382716,0.313217448,0.413011695,0.5111566821988931
2017,LAA,80,82,0.49382716,0.314998348,0.397229916,0.5245885963704724
2016,LAA,74,88,0.456790123,0.321892702,0.404529552,0.5483391267478774
2015,LAA,85,77,0.524691358,0.306554621,0.395791028,0.4507906560092511
2014,LAA,98,64,0.604938272,0.322147651,0.406050955,0.3469100648554011
2013,LAA,78,84,0.481481481,0.328941025,0.414459556,0.5371664290925204
2012,LAA,89,73,0.549382716,0.331631812,0.432803468,0.4728840273855155
2011,LAA,86,76,0.530864198,0.312520702,0.401959005,0.3434232358022628
2010,LAA,80,82,0.49382716,0.311269237,0.390306122,0.479782764535988
2025,LAD,14,6,0.7,0.31552795,0.426760563,0.4284557237983972
2024,LAD,98,64,0.604938272,0.334829299,0.446396233,0.4432750757614165
2023,LAD,100,62,0.617283951,0.34024043,0.454742939,0.4839916215170394
2022,LAD,111,51,0.685185185,0.333386735,0.441730003,0.1208338741355808
2021,LAD,106,56,0.654320988,0.329788947,0.429017447,0.1883280966363646
2020,LAD,43,17,0.716666667,0.337802768,0.482859941,0.1863521561518901
2019,LAD,106,56,0.654320988,0.337616447,0.472055343,0.29260237592682
2018,LAD,92,71,0.564417178,0.33264757,0.441672648,0.2935944466189001
2017,LAD,104,58,0.641975309,0.334469881,0.436760355,0.2896891877503313
2016,LAD,91,71,0.561728395,0.319256481,0.408843783,0.3822560502421166
2015,LAD,92,70,0.567901235,0.326101358,0.412627669,0.310539633270629
2014,LAD,94,68,0.580246914,0.332524664,0.405755395,0.2958550978084036
2013,LAD,92,70,0.567901235,0.326086956,0.396284829,0.2519099524209743
2012,LAD,86,76,0.530864198,0.316525212,0.373666789,0.2809611673885763
2011,LAD,82,79,0.50931677,0.321819993,0.375091979,0.3417706970171872
2010,LAD,80,82,0.49382716,0.321552436,0.378916328,0.4715873286896457
2025,MIA,8,9,0.470588235,0.326873385,0.380403458,0.619951004503082
2024,MIA,62,100,0.382716049,0.299784089,0.37776168,0.6825482148842763
2023,MIA,84,78,0.518518519,0.316375727,0.404766236,0.5290830389868444
2022,MIA,69,93,0.425925926,0.294256358,0.363484708,0.4299711085343245
2021,MIA,67,95,0.413580247,0.298489733,0.37210172,0.4548990197720817
2020,MIA,31,29,0.516666667,0.318518518,0.384496124,0.7144878982052565
2019,MIA,57,105,0.351851852,0.298353567,0.374637155,0.6795111816363362
2018,MIA,63,98,0.391304348,0.302794774,0.356596209,0.6871139848523053
2017,MIA,77,85,0.475308642,0.330858618,0.430560514,0.7026569460238681
2016,MIA,79,82,0.49068323,0.322214919,0.394267171,0.4823815372836022
2015,MIA,71,91,0.438271605,0.309954368,0.383671975,0.4780228724154387
2014,MIA,77,85,0.475308642,0.316538524,0.377573131,0.4073026378045989
2013,MIA,62,100,0.382716049,0.292637933,0.334556799,0.3842435907241113
2012,MIA,69,93,0.425925926,0.307871914,0.382012139,0.4975893044760033
2025,MIL,10,9,0.526315789,0.299354838,0.368723098,0.5986977959839037
2024,MIL,93,69,0.574074074,0.325581395,0.402960526,0.3659027141397539
2023,MIL,92,70,0.567901235,0.319229502,0.385072409,0.3896519549652149
2022,MIL,86,76,0.530864198,0.315496645,0.408528705,0.4179086851983473
2021,MIL,95,67,0.586419753,0.317081205,0.39612085,0.3226584714761544
2020,MIL,29,31,0.483333333,0.313357731,0.3890625,0.5180196500273528
2019,MIL,89,73,0.549382716,0.329087724,0.438289426,0.5837476144449596
2018,MIL,96,67,0.588957055,0.322596309,0.424395525,0.3906113781164588
2017,MIL,86,76,0.530864198,0.322172985,0.429120175,0.4665934868707506
2016,MIL,73,89,0.450617284,0.322231473,0.406754221,0.4955794120912109
2015,MIL,68,94,0.419753086,0.306854365,0.393248175,0.5474355453353221
2014,MIL,82,80,0.50617284,0.31059216,0.397107286,0.3717234581816306
2013,MIL,74,88,0.456790123,0.310506096,0.397515527,0.4204569168079537
2012,MIL,83,79,0.512345679,0.324983734,0.436566492,0.5316100240074499
2011,MIL,96,66,0.592592593,0.32498341,0.425004589,0.3636652920947261
2010,MIL,77,85,0.475308642,0.334716017,0.423831608,0.6377155037906901
2025,MIN,7,12,0.368421053,0.283093053,0.341534008,0.3928887607570401
2024,MIN,82,80,0.50617284,0.315169366,0.410928961,0.5428721634308293
2023,MIN,87,75,0.537037037,0.325761237,0.427582437,0.4299362713610992
2022,MIN,78,84,0.481481481,0.317273025,0.400840029,0.4627114473811085
2021,MIN,73,89,0.450617284,0.314106789,0.423494752,0.7071991788195802
2020,MIN,36,24,0.6,0.315327793,0.427465152,0.34553818162728
2019,MIN,101,61,0.62345679,0.337513716,0.494068387,0.5200292228398737
2018,MIN,78,84,0.481481481,0.31784841,0.404994571,0.6121849939728339
2017,MIN,85,77,0.524691358,0.334081796,0.433687241,0.6404788062980071
2016,MIN,59,103,0.364197531,0.316178835,0.421324314,0.7814061379797439
2015,MIN,83,79,0.512345679,0.305328211,0.399122004,0.4884889713088958
2014,MIN,70,92,0.432098765,0.32361469,0.389078498,0.6341742791031502
2013,MIN,66,96,0.407407407,0.312408995,0.379942487,0.6273796301490666
2012,MIN,66,96,0.407407407,0.324805699,0.39032722,0.6884906055791984
2011,MIN,63,99,0.388888889,0.306228084,0.35994168,0.6392501064572966
2010,MIN,94,68,0.580246914,0.34073002,0.421515804,0.4539040421110105
2025,NYM,11,7,0.611111111,0.301935483,0.388969521,0.0
2024,NYM,89,73,0.549382716,0.319083224,0.41506352,0.4548719109368482
2023,NYM,75,87,0.462962963,0.316260566,0.407234756,0.5526930160147092
2022,NYM,101,61,0.62345679,0.332087733,0.411914738,0.3478275406524107
2021,NYM,77,85,0.475308642,0.314668498,0.390595009,0.4373741793303751
2020,NYM,26,34,0.433333333,0.348112379,0.459218981,0.7597647124742672
2019,NYM,86,76,0.530864198,0.328329607,0.44185633,0.5397027544491233
2018,NYM,77,85,0.475308642,0.312408521,0.388624725,0.4884984079811867
2017,NYM,70,92,0.432098765,0.320397847,0.43430127,0.7591965575000132
2016,NYM,87,75,0.537037037,0.316005922,0.416559809,0.3472556988208106
