Season,Team,W,L,Win Rate,OBP,SLG,ERA
2010,SDP,90,72,0.555555556,0.317402768,0.371365476,0.2961257852279448
2025,SEA,9,9,0.5,0.31710362,0.383285302,0.4038204657759157
2024,SEA,85,77,0.524691358,0.311022971,0.37598499,0.3211488333255192
2023,SEA,88,74,0.543209877,0.321336346,0.412545454,0.3921127546808527
2022,SEA,90,72,0.555555556,0.314660114,0.389581395,0.349047824389161
2021,SEA,90,72,0.555555556,0.302767589,0.384873949,0.5536743479346136
2020,SEA,27,33,0.45,0.308539944,0.369621565,0.7655006159418787
2019,SEA,68,94,0.419753086,0.315542616,0.424,0.7545142129686959
2018,SEA,89,73,0.549382716,0.314172447,0.408126247,0.5035889168453198
2017,SEA,78,84,0.481481481,0.325312957,0.423527292,0.5986834760534325
2016,SEA,86,76,0.530864198,0.326346339,0.42987641,0.4665347854779096
2015,SEA,76,86,0.469135802,0.310684391,0.411075036,0.5149863714551033
2014,SEA,87,75,0.537037037,0.3003367,0.37559633,0.2294037712653482
2013,SEA,71,91,0.438271605,0.305564594,0.389528607,0.5593695366248443
2012,SEA,75,87,0.462962963,0.295601659,0.368947943,0.399151578886582
2011,SEA,67,95,0.413580247,0.292382878,0.348090758,0.4423904729744345
2010,SEA,61,101,0.37654321,0.29796536,0.339434276,0.4528968961801016
2025,SFG,13,5,0.722222222,0.300884955,0.396892655,0.3161667396835375
2024,SFG,80,82,0.49382716,0.305238803,0.395604395,0.4961283939598899
2023,SFG,79,83,0.487654321,0.312047399,0.383407243,0.4736154415947666
2022,SFG,81,81,0.5,0.315333006,0.389651335,0.4279139353498291
2021,SFG,107,55,0.660493827,0.329002923,0.440131819,0.2506872312028085
2020,SFG,29,31,0.483333333,0.334516415,0.450718177,0.6524950477162004
2019,SFG,77,85,0.475308642,0.302147738,0.391647248,0.5771640296551326
2018,SFG,73,89,0.450617284,0.299506578,0.367803645,0.4542477321080802
2017,SFG,64,98,0.395061728,0.308712741,0.380471987,0.6115860674424167
2016,SFG,87,75,0.537037037,0.329477911,0.39802336,0.3786724007221451
2015,SFG,84,78,0.518518519,0.326129666,0.406109613,0.3904553247412263
2014,SFG,88,74,0.543209877,0.310658722,0.388194821,0.324355908062236
2013,SFG,76,86,0.469135802,0.320222877,0.381304034,0.4670591009263205
2012,SFG,94,68,0.580246914,0.327352797,0.39672544,0.3747914576193278
2011,SFG,86,76,0.530864198,0.303035329,0.368209989,0.2388684855848043
2010,SFG,92,70,0.567901235,0.32113419,0.408345481,0.284117487173377
2025,STL,9,9,0.5,0.333333333,0.40625,0.488973521472501
2024,STL,83,79,0.512345679,0.311596583,0.391683312,0.4858805965496109
2023,STL,71,91,0.438271605,0.325844512,0.415789473,0.7075044871950751
2022,STL,93,69,0.574074074,0.325267944,0.420123726,0.4077846444708628
2021,STL,90,72,0.555555556,0.313307601,0.411511866,0.4661002471722493
2020,STL,30,28,0.517241379,0.323030907,0.371004566,0.4443760846992868
2019,STL,91,71,0.561728395,0.322122448,0.414755,0.4158446325985787
2018,STL,88,74,0.543209877,0.320923427,0.409239723,0.4250901415941228
2017,STL,83,79,0.512345679,0.333765392,0.42595978,0.4718278827149766
2016,STL,86,76,0.530864198,0.325303152,0.442501802,0.4895390653343998
2015,STL,100,62,0.617283951,0.321088881,0.394420131,0.16130059952648
2014,STL,90,72,0.555555556,0.320159415,0.369148544,0.3245880954162208
2013,STL,97,65,0.598765432,0.331760494,0.401475616,0.3027679306453962
2012,STL,88,74,0.543209877,0.337541953,0.421024546,0.3840671380208147
2011,STL,90,72,0.555555556,0.340857421,0.424981923,0.4058388191846667
2010,STL,86,76,0.530864198,0.331605378,0.40184049,0.3443057278216834
2025,TBR,8,10,0.444444444,0.329856584,0.411594202,0.3057163555561115
2024,TBR,80,82,0.49382716,0.302403204,0.366116162,0.4039920611223251
2023,TBR,99,63,0.611111111,0.331438778,0.444928325,0.4299594042989585
2022,TBR,86,76,0.530864198,0.3085,0.377124907,0.2976054157420893
2021,TBR,100,62,0.617283951,0.321192586,0.428908661,0.3731753285554118
2020,TBR,40,20,0.666666667,0.327876106,0.424810126,0.3421173412202987
2019,TBR,96,66,0.592592593,0.32531464,0.431236673,0.3738487823613803
2018,TBR,90,72,0.555555556,0.333441453,0.406392694,0.3946468822842499
2017,TBR,80,82,0.49382716,0.31668299,0.42241694,0.4635356526263985
2016,TBR,68,94,0.419753086,0.307117969,0.425652253,0.5240173282065512
2015,TBR,80,82,0.49382716,0.314441506,0.405834092,0.3927167999723391
2014,TBR,77,85,0.475308642,0.317104836,0.366751269,0.3408168390018964
2013,TBR,92,71,0.564417178,0.329044708,0.407728421,0.391949818180888
2012,TBR,90,72,0.555555556,0.316691382,0.394220081,0.2352601979515598
2011,TBR,91,71,0.561728395,0.321831561,0.40231788,0.3476206588033579
2010,TBR,96,66,0.592592593,0.332851405,0.40301526,0.4049566717698152
2025,TEX,11,7,0.611111111,0.275910364,0.372727272,0.3123793440465719
2024,TEX,78,84,0.481481481,0.305440714,0.380116959,0.5755620547900315
2023,TEX,90,72,0.555555556,0.337146488,0.452368185,0.5480969417230475
2022,TEX,68,94,0.419753086,0.300880544,0.39539978,0.5311720807539406
2021,TEX,60,102,0.37037037,0.294415387,0.37520814,0.6986708799431696
2020,TEX,22,38,0.366666667,0.284848484,0.363636363,0.7604817092282334
2019,TEX,78,84,0.481481481,0.319320937,0.430866425,0.7810948964574658
2018,TEX,67,95,0.413580247,0.318270799,0.404181184,0.7339032680812589
2017,TEX,78,84,0.481481481,0.320150968,0.429834254,0.6691374039006897
2016,TEX,95,67,0.586419753,0.321528578,0.433303167,0.5783408794498877
2015,TEX,88,74,0.543209877,0.325195312,0.413355107,0.5408862681785194
2014,TEX,67,95,0.413580247,0.313889353,0.375274725,0.6094650262516306
2013,TEX,91,72,0.558282209,0.323252032,0.411996418,0.3605432001643676
2012,TEX,93,69,0.574074074,0.333603107,0.445974955,0.4731181693016355
2011,TEX,96,66,0.592592593,0.339601414,0.45997526,0.4070865855862609
2010,TEX,90,72,0.555555556,0.338190552,0.418811002,0.4482536303661333
2025,TOR,11,8,0.578947368,0.329987452,0.365439093,0.28366172872149
2024,TOR,74,88,0.456790123,0.313420486,0.389279112,0.5522385057347365
2023,TOR,89,73,0.549382716,0.3286657,0.41657677,0.4064582843166191
2022,TOR,92,70,0.567901235,0.328666775,0.431143114,0.435872495350142
2021,TOR,91,71,0.561728395,0.330472103,0.466033601,0.4405972955744432
2020,TOR,32,28,0.533333333,0.324600355,0.440929312,0.649478026109559
2019,TOR,67,95,0.413580247,0.305020576,0.428181321,0.695903188041354
2018,TOR,73,89,0.450617284,0.311810245,0.427058608,0.7131768269287571
2017,TOR,76,86,0.469135802,0.312224579,0.411893071,0.5894604089297462
2016,TOR,89,73,0.549382716,0.329519819,0.425807629,0.4078320655048522
2015,TOR,93,69,0.574074074,0.339628732,0.457070248,0.4127378383698119
2014,TOR,83,79,0.512345679,0.322570123,0.413768246,0.4687216126645648
2013,TOR,74,88,0.456790123,0.317818063,0.41069171,0.5437219564902578
2012,TOR,73,89,0.450617284,0.309240924,0.406597412,0.6531982675324177
2011,TOR,81,81,0.5,0.316717915,0.412844036,0.5612168989806001
2010,TOR,85,77,0.524691358,0.312138728,0.454231119,0.5335883489750235
2025,WSN,7,11,0.388888889,0.307270233,0.383076923,0.827679829148853
2024,WSN,71,91,0.438271605,0.308766616,0.374767398,0.5537199764439356
2023,WSN,71,91,0.438271605,0.313809602,0.395689967,0.7619691628735794
2022,WSN,55,107,0.339506173,0.310229365,0.377438351,0.7570092631177152
2021,WSN,65,97,0.401234568,0.336736374,0.417084493,0.7042641122995459
2020,WSN,26,34,0.433333333,0.335743334,0.433434959,0.7823445430524842
2019,WSN,93,69,0.574074074,0.341694806,0.454462989,0.5473284433840657
2018,WSN,82,80,0.50617284,0.334880742,0.41852456,0.4788811712604659
2017,WSN,97,65,0.598765432,0.332198995,0.449306681,0.4335327562586983
2016,WSN,95,67,0.586419753,0.32553226,0.425865209,0.3294157359307528
2015,WSN,83,79,0.512345679,0.321016166,0.402542372,0.3579369738340356
2014,WSN,96,66,0.592592593,0.320987654,0.392998917,0.1878228763412427
2013,WSN,86,76,0.530864198,0.312594079,0.397534952,0.3482077259877729
2012,WSN,98,64,0.604938272,0.322152001,0.42760463,0.2775114889276155
2011,WSN,80,81,0.49689441,0.308588548,0.382650248,0.3473831488418402
2010,WSN,69,93,0.425925926,0.318181818,0.390180878,0.5058733373421425
